α,κ,δ,β,NE_found
0.3139,0.8408,0.5791,6.013458255819809,false
0.8685,0.5984,0.2971,1.8533596145380853,true
0.1,0.1716,0.7134,6.2902448699855995,true
0.3368,0.7398,0.3472,43.7284972257941,true
0.2699,0.5776,0.3868,8.223533640769299,true
0.1765,0.8579,0.2285,2.314051767601834,true
0.2289,0.2012,0.4866,24.903291911165336,false
0.2637,0.9971,0.7423,54.38019363641357,false
0.3732,0.4662,0.6782,23.641413890684284,true
0.9596,0.742,0.089,5.824073901819975,true
0.318,0.2228,0.9546,5.864985442469668,true
0.1337,0.5747,0.1775,29.994079134489695,true
0.0338,0.9452,0.1494,15.910829849857665,true
0.8453,0.7652,0.0494,18.78389774683775,true
0.0131,0.8115,0.5456,2.874848565521607,true
0.3839,0.8069,0.3105,1.0822043220703148,true
0.0863,0.9127,0.1171,7.433523704939521,true
0.8105,0.5029,0.3957,10.665348197421814,true
0.9317,0.493,0.9622,1.2995265424293818,true
0.197,0.0863,0.0194,4.459336552847826,true
0.5798,0.1764,0.0137,2.509290389936298,true
0.7326,0.079,0.9502,19.550483156236854,true
0.8675,0.9898,0.5778,21.563455352219975,false
0.982,0.0815,0.5621,4.9480818676616325,true
0.0227,0.4972,0.5474,32.072533190520964,false
0.9073,0.5199,0.1768,1.1018603736210106,true
0.9633,0.3865,0.8753,7.286330073576036,false
0.344,0.9345,0.5136,11.869831344860069,true
0.6777,0.7213,0.1778,53.35672371081656,false
0.2046,0.0961,0.5699,6.4494831769974565,true
0.2861,0.3464,0.9209,20.267122665635263,false
0.1383,0.377,0.2547,46.10862381139681,true
0.2052,0.7481,0.3881,25.431790858048544,true
0.6454,0.1645,0.45,8.971025544266785,false
0.7909,0.3405,0.1152,1.8057933061082023,true
0.8317,0.0146,0.3049,1.1422499983308942,true
0.1716,0.1661,0.9141,3.6876890937050164,true
0.6025,0.0794,0.7042,22.37624712415387,true
0.5344,0.0508,0.2653,34.26073684130756,true
0.7957,0.8628,0.7911,13.000658369670637,true
0.6931,0.0669,0.4695,2.5779641544043934,true
0.7831,0.0804,0.2667,3.407571951524154,true
0.7524,0.4934,0.4086,9.611881601322183,false
0.8034,0.2833,0.768,5.888492366745541,false
0.3133,0.8776,0.97,10.308821654664925,false
0.2458,0.6311,0.7601,8.636522384531153,true
0.7735,0.289,0.5061,32.1688952609266,true
0.534,0.7935,0.4216,1.8275933645319702,true
0.3784,0.6683,0.34,3.238142943837961,true
0.7897,0.4707,0.6885,8.24824128462666,true
0.7185,0.9185,0.5263,27.660350558516747,false
0.8278,0.0979,0.9127,1.8294218719978594,true
0.0782,0.287,0.2956,42.56362434969246,true
0.623,0.1115,0.0729,6.347112594720152,true
0.8523,0.6427,0.0826,6.579771379652822,true
0.2192,0.8869,0.0613,4.344888079814558,true
0.5025,0.4477,0.0165,28.41735357697121,true
0.4265,0.6932,0.7282,1.0140984589384923,true
0.9466,0.0208,0.2156,2.4351296512898744,true
0.2821,0.4081,0.8749,22.13145721856217,true
0.8217,0.2276,0.2406,13.971226993314497,true
0.361,0.1725,0.9928,1.0070245572668486,true
0.6183,0.0802,0.2702,5.073343156506229,true
0.6058,0.2299,0.3236,1.9719048411081859,true
0.1554,0.7912,0.9475,1.3257787199867919,true
0.1685,0.7861,0.8771,17.99330960155032,false
0.2746,0.797,0.9201,2.1511444438853182,true
0.1983,0.2862,0.9096,12.679670970833877,false
0.7575,0.1346,0.2335,45.19561188793142,true
0.1612,0.8395,0.9582,17.39182033497898,false
0.2184,0.2214,0.9306,5.490393891316893,false
0.3371,0.3589,0.5745,1.3593409680719806,true
0.6375,0.2641,0.223,3.5113479672208983,true
0.6282,0.1898,0.8411,38.05376392824492,true
0.7749,0.1733,0.2408,17.67232753380118,true
0.7473,0.2088,0.3249,10.676018880071336,true
